girls_names
آب باز
آبادی
آبدار
آب در
ابیحہ
آبگینہ
عابدہ
عابدہ
عابیر
عبیرہ
آبص
آبش
آبلوچ
آبرہ
عبرو
ادب
آدھینہ
عدیلہ
آدینہ
آدلہ
عاعیدہ
عافہ
آفاق
آفدہ
عافیہ
آفرین
آفریدہ
آفروزہ
آگینہ
آغامینا
آحاد
آہنگ
آہینہ
آہلہ
آہویا
آیدہ
عائلہ
آئلہ
آئمہ
آئمہ
آئیملک
آئینہ
آئرہ
آئرہ
آئرین
آئرس
عائشہ
آئے تن
آئے تُن
آجرہ
آخذ
اقیفا
اقیفہ
آلا
آلدہ
آلفہ
عالیہ
آلغہ
الیمہ
علیہ
اعمال
آمانی
آمرزگاہ
امیر
آمرزش
آمغہ
امیلہ
آمیرہ
آمیرہ
آمنہ
آموز
آن
آندہ
آنتیہ
آنی فاطمہ خاتون
آنیہ
انیبا
انیسہ
آنیہ
آنکہ
آنکہ
آنقہ
آنسہ
آنثہ
آنثر
آونہ
آپا
عاقیلہ
آرا
آراء
آرام
آرام جان
اعراس
آراض
آرائندہ
آرائش
آرامش
آرندہ
آربل
آردین
عارفہ
آریلہ
آرلین
آرولہ
آرسہ
آرسی
آروین
آرزو
آسہ
آسیمہ
آصفی
آصفیہ
آشا
آشام
آشبہ
آشکارہ
آشرہ
آشفتہ
آسیہ
آسیا
آصف جاہ
آصفہ
آسغہ
آسہہ
اسیمہ
اسیرہ
آثمہ
اسماء
آسمہ
آژمیر
آسنی
آسودہ
آثرہ
آسرہ
آسائش
آسیہ
آتیہ
عطیفہ
عتیق
اطیقہ
اطرح
آتش افروز
آتش عناں
آتش قدم
آتمہ
نویلہ
آویژہ
آویز
آورا
آیہ رحمت
آئے تن
آذار
آزالہ
آزبک
آزفہ
آذین
آذینہ
آزلہ
آزمہ
آزرم
ابل
آبلوچ
ابنھر
ابننا
ابننہ
اباریق
ابار
عبسہ
اباشش
ابازر
عباسہ
اباسہ
عبدربیدہ
عبیدہ
ابیھا
عبیر
عبیرہ
ابیہا
ابیھہ
ابھا
ابہج
ابیا
عابدہ
عابدہ
ابیہا
عبیلہ
عابرہ
عبلہ
ابلا
ابلہ
ابلاج
عبقری
بقره
عبرہ
ابراز
ابرج
ابرش
ابرین
ابریشمینہ
ابریشمنا
عبرد
آبرو
عبرود
عب الشمس
ادا
اداب
عدالہ
عدارا
ادیوا
ادیبہ
عدیلہ
عدیمہ
عدینہ
عدیوا
عدیلہ
عدہرا
ادیبہ
ادیبہ
ادیفہ
عادلہ
عدیلہ
ادیرا
عدویا
عدلہ
ادلہ
عدلیا
ایدہ
اعیرہ
عائشہ
ایدا
اعتلہ
عینا
عینی
ایرکن
ایثار
عائشہ
عائشہ
اعزالنساء
افادہ
عفاف
عفانہ
آفرین
عفیفہ
عافیرہ
عفت
افرہ
افروز
افروزہ
افشاں
افشین
افسوں
افزاء
افضہ
افضل
عافیہ
افیہ
عفیفہ
عفیفہ
عافیہ
افلک
افلق
افمر
افراع
افراح
افرہ
افرحہ
افرحہ
افریشم
افراشتہ
افرازدیہ
افرازندہ
افرازیدی
آفرین
افریشم
افروختہ
أفرز
افروزہ
افروز
افصہ
افسانہ
افسر
افشاء
افشاں
افشاں
افشاندہ
افشین
افسیہ
افسون
افسوں
افتان
افتر یشم
افیا
افزہ
افضاﺀ
افضیہ
افزون
افزوں
آغامینا
آغا مینا
آغحلا
اغحلغہ
أغحصان
احد
احدی
احدیہ
احفصہ
اہیبت
احلاء
اہلالہ
اہلالہ
احلالہ
اہلم
احلیم
احمدی
احمرین
احمدی
احمر
آحمرین
احمرین
آہو
آہو
احسنت
احصفہ
احواد
احواد
ايشا
عایدہ
ایدہ
اییدہ
عائلہ
عائشہ
عائشہ
عائفہ
أغار
عیلہ
ایمل
ایمن
ایمل
ایمن
ایمی
این الصبا
عین النور
اعینہ
عینین
نلسبا
آئینور
آئرہ
عائشہ
عائشہ
عائشہ
اعتماد
آذیہ
آئزہ
اجیہ
اجیہ
عاجلہ
اجمل
اجنبی
اجود
اجلہ
اجلہ
اجرہ
اجرہ
اجوا
اکبری
اکبری
آخربین
اخگر
اخلاق
اخلاقی
اخمس
اخوشی
اختف
اختر
اختری
اختر
اختری
اخزاری
اکی
عکیہ
عقیدہ
اقیفہ
اقیفہ
عکیلا
اکیلہ
اقلیمہ
اکنہ
اکنان
اکسون
اکواس
الاسلام
الماء
الماب
علیا
عالم
عالم آراﺀ
عالم افروز
عالم آراﺀ
الامیہ
البالہ
البہار
الباش
علیہ
عالیح
علسیہ
عالیمہ
عالیمہ
الینا
علیہ
علیزہ
علیشا
علیشا
علفہ
الفہ
الفاعیہ
الگائے
الغاعیہ
الغاعیہ
الہام
الحینہ
عالیہ
علیہ
علی بابا
الفہ
الیہت
علیکہ
عالم
الیمہ
علینہ
الیسا
علیشاہ
علشبہ
علیا
عالیہ
عالی
الایہ
الیہ
الجا
الجا
الجلا
الکائے
الکہ
الخالق
علامی
علیہ
المیرا
المیرا
المیریہ
علیہ
الما
الما
الماب
الماس
الماش
المحہ
الماس
الماش
المظ
المیرا
المیرہ
المیریہ
المہرہ
المیرا
المیریہ
المیہ
المیرا
المیرا
المیری
المیرا
الودرا
الرز
الریدہ
الطاف
الطیرا
التماس
التفات
علُدرا
علوینا
علوینا
علوینا
الوینا
الواز
الوہ
الویہ
الیہ
الیاء
الیان
الزهرہ
الزن
الزینہ
الزینا
الزینا
الزُبرا
امعجہ
امامہ
امانہ
امارہ
عمادہ
اماه
عمیدر
عمالہ
عملیلہ
امامہ
امانہ
امینہ
اماپولا
عمارہ
امبر
امبر
امبر
عنبرین
عنبرینہ
عمبریلی
عمبریلی
عمبریلی
عمبریلی
امبرا
عمبرین
امیمہ
امینہ
امینہ
امیرہ
امیرہ
امیل
عملیہ
امیرا
امیرہ
عمیلہ
عمیلہ
امیمہ
آمنہ
امینہ
امینہ
عامرہ
امیرہ
امکنہ
امل
عاملہ
املہ
املہ
عمارہ
أمرا
آمنہ
اموز
عمورہ
عمرا
امرہ
امرحہ
امرین
امروز
امروزیہ
امسح
امثال
امثالہ
امتہ
امواز
امیرا
امیرہ
انا
انابت
اناہید
انابل
عنان
انبیا
اناه
انیہتا
انال
انعم
عناقت
آنسہ
انسہ
انشراح
انت
انام
عنایہ
انبار
عنبرین
انچاع
عندلیب
عندلیب
انیفہ
انیلا
انیم
انیقہ
انیس
انیسا
انیسہ
انیتا
انیسہ
عنیزہ
انیلا
انگہ
انگبین
انگبین
أنجزہ
آنیہ
انیا
عنیدہ
انیلا
انیلا
عنیقہ
انیسہ
انیسہ
انیتا
عنیزہ
انجب
انجلینا
انجمن
انجیلنا
انجیل
انجلا
انجم
انجمن
انمار
انمول
انمول
اننا
النساء
انیسا
انوپ
انورہ
أنوش
أنوش
انوشہ
انوشے
عنقا
انسام
أنصارہ
انشراح
انتی
انتسام
انعم
انوشہ
انوار
انواز
انور
أنوار
أنواره
انورل
انوری
انورا
انیا
عنزہ
انظام
انزیلہ
انشراح
انزیلہ
اولیا
اوز گل
اوصاف
اقالہ
عقدہ
اقدس
عقیلہ
عقبہ
عاقلہ
اقلیم
قلمہ
اقمر
اقصی
اقصیٰ
اقسیہ
اقویر
آراء
ارابہ
آرام
عرہ
عرج
عرازہ
عربہ
اردین
اریبا
اریبہ
عریفہ
اریج
عرینہ
ارینا
اریشہ
اریشہ
عرتا
آرزو
ارفعہ
ارفعہ
ارفی
ارفیہ
ارفیہ
ارغوان
ارحم
ارینا
اریبہ
اریبہ
أرباح
عارفہ
عرِج
اریکہ
عارمہ
عریشا
عریسا
ارجاء
ارجمند
ارجمند
ارجمند
ارما
ارما
ارمغان
آرمیتی
ارملہ
ارمان
ارمین
ارمیہ
ارُوب
عروبہ
ارونا
عروس
عروسہ
عروسہ
عروت
عروسہ
عروب
ارشق
ارسلہ
ارژنگ
عرش
ارشاد
ارشد
ارشد
عرشی
عرشیہ
ارشیہ
عرشیہ
ارصیہ
ارتفی
آرتپنا
ارُب
عروبا
عرومہ
عروس
عروسہ
عروسی
ارویٰ
آریشا
ارزو
آرزو
آرزو
اسا
اسعد
اصابت
اصابت
اسدہ
اصح
اسالہ
اصلاح
آسرہ
اصداف
اسدہ
اصیلہ
اسیلہ
اسیما
اثینہ
عاصفہ
اصفہ
اصفر
آصفیہ
اصفیہ
اصفیا
اصفُرہ
اصغری
اصغیر
اصغیہ
عائشہ
اسحارہ
عائشہ
اشالینا
اشباہ
اشینہ
عشیقہ
أشين
اشک
اشعہ
عائشہ
عائشہ
آشکا
عاشرہ
اشجع
اشک
اشکہ
اشنہ
اشوک
اشرف
اشرف
اشتلفہ
اشتر
عشوہ
اشواق
اشیا
آسیا
آسیہ
آصفہ
آصفہ
اسیلہ
اسیمہ
آسیہ
آسیہ
اسجد
اصقہ
اسکلدان
اصلکان
اصلی
اسماﺀ
اسما
آسمان
اسما
اسمرہ
اصمت
اسمر
عاصمہ
اسمر
اسنا
اصناف
اصنام
اسنے
اصقہ
اسراﺀ
اثرہ
اسرار
اثرہ
اسریہ
اصبح
اسیف
اژیر
اصغری
اسلوب
اسماء
استا
استلہ
استے
استے
استوبان
اسُب
اسکنا
اسوہ
اطالہ
اطارت
عطاف
اطالہ
اطلحہ
اطارت
اترسپنشتا
عطبل
عطیفہ
اطیمہ
اطیقہ
اتیفہ
اطحہ
اتہاس
اطہرہ
اطہرالنسا
اطہرہ
اتہیلہ
اطیر
عطمہ
عطیہ
عاطفہ
عتیفی
عاتکہ
آتینہ
عتیقہ
عتیقہ
عاطرہ
اتیرہ
عطیہ
اعتلہ
اطلعہ
آتما
اطمہ
عطموس
اتوسا
اتقا
عترہ
اطرہ
اطرہ
اطروبہ
اطروجہ
اطرویہ
اطیب
عطیہ
اتفہ
اتفہ
اتردوخت
عتیب
اطیاف
اوج
اوجی
اورا
اوزگل
اوا
اوزک
آویزہ
اواشما
اواب
عودہ
اویسا
اوالہ
آورش
عویمہ
آویز
اوینہ
ایاس
آیت
ایاہ
عیانی
آیاننا
ایدا
عائشہ
عائسہ
عائشہ
عائشہ
ایہ
عائسہ
عائسہ
عائشہ
عائشہ
عائشہ
آئزہ
ائیسا
عائشہ
عائشہ
ایمن
ایرا
عائشہ
عائشہ
اسکا
از زہرا
اذعان
اذاعت
ازاحت
ازعلہ
ازانہ
ازاشتہ
عزاددوخت
آزادی
آزادہ
عزہ
ازجج
ازالہ
ازالہ
ازلغہ
ازلنہ
اضبا
ازبیہ
ازدین
عظیمہ
اذین
ازیر
عزیزہ
عزیزہ
عزیرہ
اظفار
اذفرین
ااظہار
اظہر
آزمان
اذین
ازیتا
عزیزا
اذک
اذکہ
ازکیہ
عاذلہ
اذلہ
ازلہ
ازلفہ
اذلفہ
ازلی
اذما
اذمہ
ازمہ
عظمت
ازملہ
آذوقہ
عذرا
عضرا
ازراہ
آزکنا
آزُسا
آزثنا
عزوہ
عزا
ازہ
ازبن
اذین
عزیزا
ازہر
اذکیہ
ازین
ببئی
بابک
بابرہ
بابیزان
باد
بادامہ
باداش
بادر
بادی
بادرہ
بادیہ
بادلہ
بادپا
بادشاہ
بافندہ
بافتہ
باگھن
باگیسری
بائمہ
ًااجی
باجرہ
باخ
باختر
باکرہ
بالیدہ
بالمرہ
بانہ
باندی
بانکی
بانو
بانو
باقیہ
باردہ
باریہ
بارک اللہ
بارندہ
بارقہ
بارہ
باسلہ
باسعود
باشہ
باشد
باسلہ
باسمہ
باصرہ
باسطہ
باسلیق
باسمہ
باسنا
باسقہ
باس
باستی
باترہ
باطیہ
بازکشا
بازف
بازک
بازغہ
بازغ
بازخہ
باذلہ
بازیاب
ببی
بابرہ
بادصبا
بداح
بداغ
بداح
بدی
بدر
بدیا
بدور
بادیہ
بدیہی
بدیر
بدیعہ
بدیہ
بدل
بدیہ
بادلہ
بدور
بادرہ
بدرغ
بدرہ
بدرقہ
بدریہ
بدریا
بدریہ
بدرییہ
بادسیر
بادیہ
بغازی
بغداد
